generic_name,brand_name,condition,approved_use,drug_class,formulations,routes,common_adverse_effects,warnings,off_label_uses,source_summary,last_verified
donepezil,Aricept,Alzheimer's disease,"Treatment of dementia of the Alzheimer's type; efficacy has been demonstrated in mild, moderate, and severe Alzheimer's disease",Acetylcholinesterase inhibitor,Film-coated tablet; orally disintegrating tablet (ODT),Oral,Nausea; diarrhea; insomnia; vomiting; muscle cramps; fatigue; anorexia,Bradycardia or heart block and syncope; gastrointestinal bleeding or peptic ulcer risk; significant vomiting and weight loss; seizures; caution in asthma or obstructive pulmonary disease; may exaggerate succinylcholine-type muscle relaxation during anesthesia,Dementia with Lewy bodies; vascular dementia (not FDA-approved for these uses),DailyMed/FDA labeling; current generic labeling cross-checked 2026-09-08,2026-09-08
rivastigmine,Exelon Patch,Alzheimer's disease,"Treatment of mild, moderate, and severe dementia of the Alzheimer's type",Acetylcholinesterase inhibitor,Transdermal patch,Transdermal,Nausea; vomiting; diarrhea; decreased appetite; weight loss; application-site reactions,Medication errors involving multiple patches may cause serious or fatal overdose; significant gastrointestinal reactions with dehydration and weight loss; allergic contact dermatitis and other serious skin reactions; bradycardia; seizures; gastrointestinal bleeding or peptic ulcer risk; caution in asthma or obstructive pulmonary disease,Dementia with Lewy bodies (not FDA-approved for this use),FDA/DailyMed Exelon Patch prescribing information; verified 2026-09-08,2026-09-08
galantamine,Razadyne,Alzheimer's disease,Treatment of mild-to-moderate dementia of the Alzheimer's type,Acetylcholinesterase inhibitor,Immediate-release tablet; extended-release capsule; oral solution,Oral,Nausea; vomiting; diarrhea; dizziness; headache; decreased appetite; weight decrease,Serious skin reactions including Stevens-Johnson syndrome and acute generalized exanthematous pustulosis; bradycardia and atrioventricular block; gastrointestinal bleeding or peptic ulcer risk; weight loss; seizures; caution in asthma or obstructive pulmonary disease; may exaggerate succinylcholine-type muscle relaxation during anesthesia,Vascular dementia (not FDA-approved for this use),FDA/DailyMed galantamine labeling; verified 2026-09-08,2026-09-08
memantine,Namenda,Alzheimer's disease,Treatment of moderate-to-severe dementia of the Alzheimer's type,NMDA receptor antagonist,Tablet,Oral,Dizziness; headache; confusion; constipation,Conditions that raise urine pH may reduce memantine elimination and increase plasma concentrations; monitor carefully under such conditions,Dementia with Lewy bodies; Parkinson's disease dementia; vascular dementia (not FDA-approved for these uses),FDA/DailyMed memantine labeling; verified 2026-09-08,2026-09-08
lecanemab-irmb,Leqembi,Alzheimer's disease,Treatment of Alzheimer's disease; treatment should be initiated in patients with mild cognitive impairment or mild dementia stage of disease,Amyloid beta-directed antibody,Injection solution; prefilled autoinjector,Intravenous; subcutaneous,Infusion-related reactions; ARIA-H microhemorrhages; ARIA-E edema/effusion; headache,"Boxed warning: amyloid-related imaging abnormalities (ARIA), including ARIA-E and ARIA-H, which can be serious or fatal; increased ARIA risk in ApoE epsilon4 homozygotes; intracerebral hemorrhage risk; hypersensitivity reactions; infusion-related reactions",No evidence-supported off-label use identified for this dataset,FDA/DailyMed Leqembi prescribing information; verified 2026-09-08,2026-09-08
donanemab-azbt,Kisunla,Alzheimer's disease,Treatment of Alzheimer's disease; treatment should be initiated in patients with mild cognitive impairment or mild dementia stage of disease,Amyloid beta-directed antibody,Injection solution,Intravenous,ARIA-E; ARIA-H microhemorrhage; ARIA-H superficial siderosis; headache,"Boxed warning: amyloid-related imaging abnormalities (ARIA), including ARIA-E and ARIA-H, which can be serious or fatal; increased ARIA risk in ApoE epsilon4 homozygotes; intracerebral hemorrhage risk; hypersensitivity reactions; infusion-related reactions",No evidence-supported off-label use identified for this dataset,FDA/DailyMed Kisunla prescribing information; verified 2026-09-08,2026-09-08
carbidopa-levodopa,Sinemet,Parkinson's disease,Treatment of Parkinson's disease,Dopaminergic combination,Tablet,Oral,Dyskinesia; nausea,Dyskinesia; hallucinations or psychotic-like behavior; impulse-control or compulsive behaviors; depression with suicidal tendencies; orthostatic hypotension; withdrawal-emergent hyperpyrexia and confusion,Restless legs syndrome (not FDA-approved for this use; generally limited to selected short-term/intermittent use),FDA/DailyMed Sinemet prescribing information; verified 2026-09-08,2026-09-08
pramipexole,Mirapex,Parkinson's disease,Treatment of Parkinson's disease,Non-ergot dopamine agonist,Tablet,Oral,Nausea; dizziness; somnolence; constipation; hallucinations; dyskinesia; orthostatic hypotension,Sudden onset of sleep and somnolence during activities of daily living; symptomatic orthostatic hypotension; impulse-control or compulsive behaviors; hallucinations or psychotic-like behavior; dyskinesia,Treatment-resistant unipolar or bipolar depression as adjunctive therapy (not FDA-approved for these uses),FDA/DailyMed pramipexole labeling; verified 2026-09-08,2026-09-08
ropinirole,Requip,Parkinson's disease,Treatment of Parkinson's disease,Non-ergoline dopamine agonist,Tablet,Oral,Nausea; somnolence; dizziness; syncope; dyskinesia; confusion; hallucinations,Sudden onset of sleep and somnolence during activities of daily living; syncope; symptomatic orthostatic hypotension; hallucinations or psychotic-like behavior; impulse-control or compulsive behaviors; dyskinesia,No evidence-supported off-label use identified for this dataset,FDA/DailyMed ropinirole labeling; verified 2026-09-08,2026-09-08
rasagiline,Azilect,Parkinson's disease,Treatment of Parkinson's disease,MAO-B inhibitor,Tablet,Oral,Dyskinesia; nausea; postural hypotension; constipation; arthralgia; weight loss; fall,Hypertension including severe hypertensive syndromes; serotonin syndrome; sudden onset of sleep and daytime somnolence; orthostatic hypotension; dyskinesia; hallucinations or psychotic-like behavior; impulse-control or compulsive behaviors; withdrawal-emergent hyperpyrexia and confusion,No evidence-supported off-label use identified for this dataset,FDA/DailyMed rasagiline labeling; verified 2026-09-08,2026-09-08
